fecha,valor
01-03-2023,92836.22658190639
02-03-2023,92965.72646381623
03-03-2023,92290.22634572607
04-03-2023,91951.72622763591
05-03-2023,91895.98962495192
06-03-2023,91605.01772815027
07-03-2023,91761.0458313486
08-03-2023,92322.0739345469
09-03-2023,92427.66870441202
10-03-2023,91876.13046935093
11-03-2023,91762.2405859382
12-03-2023,91399.68403585881
13-03-2023,11277.3274857794
14-03-2023,90962.19820842727
15-03-2023,91384.73559774182
16-03-2023,91639.15439952472
17-03-2023,89606.57320130763
18-03-2023,87750.62678569923
19-03-2023,86149.06832527292
20-03-2023,84472.5098648466
21-03-2023,82898.78473775361
22-03-2023,82893.55961066062
23-03-2023,82834.93448356763
24-03-2023,81165.80935647464
25-03-2023,79781.19802808294
